"Data","Preco_Previsto","IC_Inferior","IC_Superior"
2033-07-01,61.2251943572244,33.2996082519463,104.518802415927
2033-08-01,61.2243714099393,33.2740782941676,104.713581807181
2033-09-01,61.2293130850943,33.1748020702383,105.189148409224
2033-10-01,61.2278162084116,32.8923700606633,105.852522016584
2033-11-01,61.2150567916987,32.8018182151115,105.818390293165
2033-12-01,61.2277974055337,32.72297849067,106.289290810089
2034-01-01,61.20120703093,32.7116408836389,106.719543573167
2034-02-01,61.2100207223988,32.4460368481149,107.13985999917
2034-03-01,61.2176080331758,32.477669239253,107.517712953091
2034-04-01,61.2025772269404,32.3693557272652,108.076584704451
2034-05-01,61.1842288207195,32.3099669057263,108.195244225593
2034-06-01,61.1914744202087,32.2775512636886,108.675832526879
2034-07-01,61.2151273567107,32.1941482476293,108.554420981036
2034-08-01,61.1806111344443,32.1052289078685,109.235135158648
2034-09-01,61.1645436113365,31.8998612635212,109.473669168399
2034-10-01,61.1427985805665,31.7915677968771,109.371669545355
2034-11-01,61.1352410938704,31.7814497119651,110.386689046657
2034-12-01,61.1242516233801,31.6647351378167,110.908071775732
2035-01-01,61.1293090427697,31.6312803962434,110.470082740648
2035-02-01,61.1165447264218,31.437186285301,110.843473787616
2035-03-01,61.1202344455597,31.2390961639612,111.146078204217
2035-04-01,61.1135859908685,31.1663809887336,111.426117842326
2035-05-01,61.1590649697491,31.0421620802959,111.147751209917
2035-06-01,61.1330164512308,30.9636632727005,111.203801985517
2035-07-01,61.1100776715912,30.8147903149799,111.335097408079
2035-08-01,61.0730968668429,30.7307433797928,111.918546529208
2035-09-01,61.0963472886978,30.6848416337116,111.733246852548
2035-10-01,61.1003917850048,30.4772187170333,112.262242570537
2035-11-01,61.1156333974362,30.3214816778866,112.276612209648
2035-12-01,61.1240823481719,30.4266348403345,112.857705287802
2036-01-01,61.1076922383602,30.3372028358174,112.848253350997
2036-02-01,61.1248052284393,30.455579955339,113.375175280143
2036-03-01,61.0893949407628,30.0902766293586,113.421694646372
2036-04-01,61.0932347376428,30.1075016615667,114.263075843203
2036-05-01,61.1240654918296,29.9780643629173,114.403835404933
2036-06-01,61.1029032656748,29.8768248723733,114.345247751958
2036-07-01,61.0967947992306,29.8144768300152,114.819643998649
2036-08-01,61.096150216179,29.5253134295123,116.314242818583
2036-09-01,61.0961479784763,29.4715875162651,116.245599385588
2036-10-01,61.0997968778209,29.3753253786496,115.616993071761
2036-11-01,61.0665581765625,29.3433026212251,115.682866537643
2036-12-01,61.0535214514726,29.2983996802281,115.914549447344
2037-01-01,61.0526353090675,29.1449531374139,115.843795273714
2037-02-01,61.0374333121166,28.7759653586948,116.23653063806
2037-03-01,61.0191958559828,28.8350453000958,116.604133434333
2037-04-01,60.9914937292183,28.76987256842,116.946309178243
2037-05-01,60.970561080455,28.6295413193572,118.098044473198
2037-06-01,60.9573189182995,28.6037755302752,117.487140527398
2037-07-01,60.9376024724633,28.3839846419254,117.392292100494
2037-08-01,60.9122765190849,28.3259268039034,118.353124082676
2037-09-01,60.9261730920792,28.1020978114501,118.43025323133
2037-10-01,60.9054801623733,28.0454430234961,118.380548864639
2037-11-01,60.8821453635008,27.9642040001305,118.524814961009
2037-12-01,60.8744695794643,28.0414806176568,118.550604512164
2038-01-01,60.8425641593987,27.862388416277,118.607910985325
2038-02-01,60.7981631634358,27.9138852521771,118.758882745237
2038-03-01,60.807990815883,27.7039834139013,118.004372072471
2038-04-01,60.7960927970666,27.5248185461001,118.657390944513
2038-05-01,60.7698987737969,27.4430322687166,119.355254045611
2038-06-01,60.7933646068176,27.3768443824264,118.723196716312
2038-07-01,60.7562635835514,27.2120018270375,118.143567321418
2038-08-01,60.7337642104241,27.1429092340247,119.378195026225
2038-09-01,60.7111332394423,27.1369107609307,119.195682461243
2038-10-01,60.6723612188028,26.9659081120487,119.899680500085
2038-11-01,60.6723370497208,26.8582416930816,119.992021965373
2038-12-01,60.6854384008489,26.8199402224803,120.788738677364
2039-01-01,60.6752448728571,26.8563395922103,120.609383773706
2039-02-01,60.6682021433505,26.7832892543604,121.47428506835
2039-03-01,60.6507963911919,26.5481900692389,121.260526415075
2039-04-01,60.6498257088786,26.4214067808606,120.982017258134
2039-05-01,60.6220541894221,26.4338083293879,121.164725381783
2039-06-01,60.6347987983378,26.3985550776609,121.589642416403
2039-07-01,60.649342792212,26.1772094978522,121.791068458063
2039-08-01,60.6454730547501,26.1567018887057,121.626003554151
2039-09-01,60.6516402854962,26.071139250158,122.015034240298
2039-10-01,60.6384433869182,26.0414478806194,122.630533264197
2039-11-01,60.6291846447134,25.9400433397047,122.642276390235
2039-12-01,60.637780705026,25.8968279981597,122.600267843896
2040-01-01,60.6032439559522,25.7264551129708,122.478476907136
2040-02-01,60.6130495469339,25.7192475905672,123.03425776337
2040-03-01,60.6395805474621,25.6535108635758,122.572777647264
2040-04-01,60.6061429662971,25.4743399802811,122.985071592806
2040-05-01,60.5938109949394,25.3855093180522,124.328646192342
2040-06-01,60.5852690450463,25.2338394593595,124.80893879311
2040-07-01,60.5766926329343,25.2305879848953,125.342434863287
2040-08-01,60.565380033288,25.1709120945847,125.140455925371
2040-09-01,60.5661426696594,25.0334816467819,125.68327987565
2040-10-01,60.5512669713903,24.7804784519449,125.968515410551
2040-11-01,60.5713978233723,24.896454700271,125.702987761378
2040-12-01,60.6132267678495,24.8061142819171,126.211994162955
